date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:56	133903/133903	---M-Z	200	added ('OK')	text/html	etag:%2220b0f-61766680-4469b2fd53f4b1b3;gz%22	http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/feed-layout-2.html	(from )
10:00:57	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d147102-eb70bee584e7d266;gz%22	http://demo.foxthemes.net/robots.txt		(from )
10:00:57	769/769	---M--	200	added ('OK')	image/png	etag:%22301-6175a3b8-5351a6a1cf0517df;;;%22	http://demo.foxthemes.net/socialitev2.2/assets/images/favicon.png	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/assets/images/favicon.png	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
10:00:58	67261/67261	---M-Z	200	added ('OK')	text/css	etag:%22106bd-6175a42e-f06ed7fef2605cb;gz%22	http://demo.foxthemes.net/socialitev2.2/assets/css/uikit.css	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/assets/css/uikit.css	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
10:00:58	102595/102595	---M-Z	200	added ('OK')	text/css	etag:%22190c3-6175a40e-5cee6c27e1a47d49;gz%22	http://demo.foxthemes.net/socialitev2.2/assets/css/icons.css	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/assets/css/icons.css	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
10:00:59	198684/198684	---M-Z	200	added ('OK')	text/css	etag:%223081c-6175a40f-53162d9c88a13972;gz%22	http://demo.foxthemes.net/socialitev2.2/assets/css/style.css	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/assets/css/style.css	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
10:00:59	63/63	---MCZ	302	error ('Found')	text/plain	date:Tue,%2013%20Sep%202022%2003:01:00%20GMT	https://unpkg.com/tailwindcss@^2/dist/tailwind.min.css	C:/My%20Web%20Sites/html%20css%20social/unpkg.com/tailwindcss@^2/dist/tailwind.min.5.delayed	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
10:01:00	153804/153804	---M-Z	200	added ('OK')	text/html	etag:%22258cc-61766680-369e5b5228d612a3;gz%22	http://demo.foxthemes.net/socialitev2.2/feed.html	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/feed.html	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
10:01:01	3673/3673	---M--	200	added ('OK')	image/png	etag:%22e59-6175a3b9-69fb9de621f0f6fb;;;%22	http://demo.foxthemes.net/socialitev2.2/assets/images/logo.png	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/assets/images/logo.png	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
10:01:01	2754/2754	---M--	200	added ('OK')	image/png	etag:%22ac2-6175a3b9-1e935e20392c5c3f;;;%22	http://demo.foxthemes.net/socialitev2.2/assets/images/logo-mobile.png	C:/My%20Web%20Sites/html%20css%20social/demo.foxthemes.net/socialitev2.2/assets/images/logo-mobile.png	(from http://demo.foxthemes.net/socialitev2.2/feed-layout-2.html)
